school,avgscrwrite,phone
March Valley,,(951) 571-4800
Vista del Lago High,424.0,(951) 571-4880
March Mountain High,,(951) 571-4800
Alessandro Middle,,
Case Kindergarten Ctr.,,
Moreno Annex,,
Sunnymead Middle,,
Butterfield Middle,,
Hidden Springs Elementary,,
Seneca Elementary,,(951) 571-4650
Murrieta Elementary,,
Avaxat Elementary,,
Alta Murrieta,,
Curran (E. Hale),,
Mosaica Online Academy of Southern California,,
Pivot Charter School Riverside II,,(877) 544-1429
Golden State Valley Academy,,
Excel Prep Charter - IE,,(951) 601-6620
Nuview Bridge Early College High,471.0,(951) 928-8498
Valley View Elementary,,(951) 928-1841
Rio Vista Elementary,,(760) 416-0032
Center for Learning and Development,,
Cabot Yerxa Elementary,,(760) 251-2223
Virtual Pre,,(760) 416-8402
Painted Hills Middle,,(760) 416-6000
Father's Heart Charter,,
Rancho Mirage High,,(760) 416-6055
Desert Learning Academy,,(760) 778-0487
Palm Springs Continuation High,,
Independent Study,,
Las Brisas High (Cont.),,
Desert Hot Springs High,429.0,(760) 288-7000
Ramon Academy,,
Bubbling Wells Elementary,,(760) 251-7230
James Workman Middle,,(760) 770-8540
Two Bunch Palms Elementary,,(760) 251-7220
Palo Verde Valley Community Day,,
Blythe District Preschool,,(760) 922-4164
Ripley Elem (Defunct),,
Railway Elementary,,(951) 943-3259
Sky View Elementary,,(951) 657-4214
Rob Reiner Children & Families Center,,(951) 657-3118
Clearwater Elementary,,(951) 657-3118
Pinacate Middle School,,
Palms Elementary,,(951) 940-5112
A Street Elementary,,
Perris Elementary Kindergarten Academy,,
Enchanted Hills Elementary,,(951) 443-4790
California Military Institute,423.0,(951) 443-2731
Heritage High,444.0,(951) 940-5447
Choice 2000 On-Line,,
Paloma Valley High,450.0,(951) 672-6030
The Academy Community Day,,(951) 657-2174
Perris Valley Academy,,
Perris Continuation High,,
Perris Valley Middle,,
Lake Mathews Elementary,,(951) 352-5520
Gateway to College Early College High,,
Mark Twain Elementary,,(951) 789-8170
Patricia Beatty Elementary,,(951) 276-2070
Riverside Virtual,,(951) 276-2006
Frank Augustus Miller Middle,,(951) 789-8181
REACH Leadership STEAM Academy,,(951) 275-8820
Riverside STEM Academy,,
Educational Options Center State Preschool,,(951) 276-7670
Riverside STEM Academy,,(951) 788-7308
Encore High School for the Arts - Riverside,,(951) 824-1358
Pachappa Special Education,,
Raincross High (Continuation),,(951) 276-7670
Martin Luther King Jr. High,494.0,(951) 789-5690
Creative Options for Positive Education (COPE),,
Casa Blanca Special Education,,
Learning Disability Group,,
Palm Elementary,,
Amelia Earhart Middle,,(951) 697-5700
Tomas Rivera Elementary,,(951) 697-5757
Rehoboth Charter Academy,,
John F. Kennedy Elementary,,(951) 789-7570
Casa Blanca Preschool,,
Boulder Ridge,,
Mesa View Elementary,,(951) 723-1284
Ethan A Chase Middle,,(951) 926-9244
Boulder Ridge Elementary,,(951) 723-8931
Estudillo Elementary,,(951) 654-1003
"Clayton A. Record, Jr., Elementary",,(951) 487-6644
San Jacinto Early Childhood Education Center,,(951) 654-1531
Megan Cope Elementary,,(951) 654-6069
San Jacinto Leadership Academy - Magnet,,(951) 929-1954
Mountain Heights Academy,,(951) 487-7710
Monte Vista Middle,,(951) 654-9361
San Jacinto Valley Academy,466.0,(951) 654-6113
North Mountain Middle,,(951) 487-7797
Temecula School,,
Vail Elementary,,
Rancho Elementary School,,
Sparkman (Joan F.) Elementary,,
Margarita Middle,,
Glen View Trainable Mentally R,,
Mead Valley Elementary,,
Val Verde Elementary,,
Rainbow Ridge Elementary,,
Victoriano Elementary,,
El Potrero Elementary,,
Bethune (Mary McLeod) Elementary,,
Las Palmitas Elementary,,(760) 397-2200
Desert Mirage High,414.0,(760) 397-2255
Toro Canyon Middle,,(760) 397-2244
Coral Mountain Academy,,(760) 398-3525
Bobby Duke Middle,,(760) 398-0139
Coachella Valley USD Special Ed PreK,,(760) 848-1109
NOVA Academy - Coachella,403.0,(714) 569-0948
Alternative Education Center,,
Kokell Elem-TMR,,
Cahuilla Desert Academy Junior High,,(760) 398-0097
Saul Martinez Elementary,,(760) 396-1935
Mountain Vista Elementary,,(760) 775-6888
John Kelly Preschool,,
Lakeside High,454.0,(951) 253-7300
Ronald Reagan Elementary,,(951) 253-7650
Lakeland Village Middle,,
Earl Warren Elementary,,(951) 253-7810
Keith McCarthy Academy,,(951) 253-7777
Preschool,,(951) 253-7091
Sycamore Academy of Science and Cultural Arts,,(951) 678-5217
Lakeland Village,,(951) 253-7400
Southern California Online Academy,,
Valley Adult,,(951) 253-7093
Tri-Valley Community Day,,
Gordon Kiefer Independent Study,,
Railroad Canyon Elementary,,(951) 253-7510
Tuscany Hills Elementary,,(951) 245-6850
Donald Graham Elementary,,(951) 253-7590
David A. Brown Middle,,(951) 253-7430
William Collier Elementary,,(951) 678-8488
Rice Canyon Elementary,,(951) 471-2184
Cottonwood Canyon Elementary,,(951) 244-2585
Canyon Lake Middle,,(951) 244-2123
French Valley Elementary,,(951) 926-3643
Erle Stanley Gardner Middle,,(951) 699-0080
Great Oak High,505.0,(951) 294-6450
Alamos Elementary,,(951) 294-6760
Bella Vista Middle,,(951) 294-6600
Crowne Hill Elementary,,(951) 294-6370
Susan La Vorgna Elementary,,(951) 294-6385
Tony Tobin Elementary,,(951) 294-6355
Temecula Luiseno Elementary,,(951) 294-6340
Keegan Academy,,
"Context: Middle School, Temecula",,
Susan H. Nelson,,(951) 695-7360
Temecula Valley Adult,,(951) 294-6512
Chaparral High,491.0,(951) 695-4200
Temecula Preparatory,539.0,(951) 926-6776
Vail Ranch Middle,,(951) 302-5188
Temecula Valley Charter,,(951) 294-6775
Paloma Elementary,,(951) 302-5165
Pauba Valley Elementary,,(951) 302-5140
Vintage Hills Elementary,,(951) 695-4260
Language Acquisition Magnet Program (LAMP),,
Helen Hunt Jackson Elementary,,(951) 302-5199
Abby Reinke Elementary,,(951) 302-6610
James L. Day Middle,,(951) 699-8138
Ysabel Barnett Elementary,,(951) 296-5579
Monte Vista Elementary,,(951) 894-5085
Vista Murrieta High,491.0,(951) 894-5750
Murrieta Canyon Academy,,(951) 696-1661
Antelope Hills Elementary,,(951) 445-4110
Murrieta Valley Adult Education,,(951) 696-3805
Lisa J. Mails Elementary,,(951) 304-1880
Dorothy McElhinney Middle,,(951) 304-1880
Murrieta Mesa High,478.0,(951) 677-0568
Creekside High,,
Thompson Middle,,(951) 696-1410
Tovashal Elementary,,(951) 696-1411
Cole Canyon Elementary,,(951) 696-1421
Daniel N. Buchanan Elementary,,(951) 696-1428
Warm Springs Middle,,(951) 696-3503
Lakeside Middle,,(951) 443-2440
Sierra Vista Elementary,,(951) 443-2430
Columbia Elementary,,(951) 443-2460
Red Maple Elementary,,
Citrus Hill High,405.0,(951) 490-0400
Lasselle Elementary,,(951) 490-0350
Avalon Elementary,,(951) 490-0360
Val Verde Student Success Academy,,(951) 443-2450
Triple Crown Elementary,,(951) 490-0440
March Middle,,(951) 490-0430
El Potrero Pre-School,,(951) 940-8530
May Ranch Elementary,,(951) 490-4670
Val Verde Academy,,(951) 443-2450
Orange Vista High,,(951) 490-4660
Val Verde Adult High,,
Via High,,
Glen View Elementary,,
Vista Verde Middle,,(951) 490-4690
Tomas Rivera Middle,,(951) 940-8570
Manuel L. Real Elementary,,(951) 940-8520
Southwest Elementary,,
Baypoint Preparatory Academy,,(951) 658-1700
Carson Creek Jr./Sr. High,,
Palmiter Special Education,,(916) 228-2020
Elinor Lincoln Hickey Jr./Sr. High,,(916) 228-2074
North Area Community,,(916) 228-2073
Esperanza Jr./Sr. High,,
El Centro Jr./Sr. High,,(916) 228-2525
Morgan Jr./Sr. High,,(916) 228-2317
Sacramento County SH Special Education,,(916) 228-2380
Sacramento County ED Special Education,,(916) 228-2380
Northern California Poly Technical Academy,,
Nueva Vision Academy Charter,,
Gerber Jr./Sr. High,,(916) 228-2329
Fortune,,(916) 287-4470
Esperanza High,,
Curtis Park School,,
Neighborhood Alternatives Cent,,
Patrick Bennett (Lh),,
Palmiter (Leo A.) High School_(Lh/Sed),,
Community School Programs (Co. Supt.),,
Alternative/Opportunity,,
McClellan Jr./Sr. Community Day,,
Mather Community Day,,
Palmiter (Leo A.) Community Day,,
South Area Community Day,,
Carson Creek High,,
Courtland Joint Union Hi (Defu,,
Folsom-Cordova Continuation Hi,,
El Centro Junior-Senior High,,
Westside (SH),,
Sacramento County Boys' Ranch,,
Sacramento County Girls' Schoo,,
Kiefer Blvd. (SH),,
Helton Center,,
McClellan Elementary Community Day,,
Northern Reception Center-Clinic,,
California Education Authority,,
Johanna Boss High,,(209) 944-6155
N.A. Chaderjian High,,(209) 944-6444
Mary B. Perry High,,(805) 485-7951
Dudley (Arthur S.) Elementary,,
Center Joint Junior High,,
Cyril Spinelli Elementary,,
Sharwin Charter School Academy,,
Edna Batey Elementary,,(916) 714-5520
Arlene Hein Elementary,,(916) 714-0654
Monterey Trail High,444.0,(916) 688-0050
"Edward Harris, Jr. Middle",,(916) 688-0080
Roy Herburger Elementary,,(916) 681-1390
Arnold Adreani Elementary,,(916) 525-0630
Helen Carr Castello Elementary,,(916) 686-1725
Katherine L. Albiani Middle,,(916) 686-5210
Pleasant Grove High,513.0,(916) 686-0230
Carroll Elementary,,(916) 714-0106
California Montessori Project - Elk Grove Campus,,(916) 714-9699
Sunrise Elementary,,(916) 985-4350
Elizabeth Pinkerton Middle,,(916) 683-7680
Cosumnes Oaks High,491.0,(916) 683-7670
Marion Mix Elementary,,(916) 683-7445
Elk Grove Continuation High,,
Omochumnes High,,
Insights High (Continuation),,
Transition High (Continuation),,(916) 686-7742
Laguna Creek High,483.0,(916) 683-1339
Sheldon High,472.0,(916) 681-7500
Elk Grove Community Day,,
Capital Community Day,,
Advanced Instructional Model (AIM),,
Franklin High,512.0,(916) 714-8150
Union House Elementary,,
Arthur C. Butler Elementary,,(916) 681-7595
Mary Tsukamoto Elementary,,(916) 689-7580
Harriet G. Eddy Middle,,(916) 683-1302
Elitha Donner Elementary,,(916) 683-3073
Elk Grove Charter,,(916) 714-1653
Barbara Comstock Morse Elementary,,(916) 688-8586
Maeola E. Beitzel Elementary,,(916) 688-8484
T. R. Smedberg Middle,,(916) 681-7525
Joseph Sims Elementary,,(916) 683-7445
Crossroads #1,,
Crossroads #2,,
Las Flores Community Day,,
Raymond Case Elementary,,(916) 681-8820
Stone Lake Elementary,,(916) 683-4096
Toby Johnson Middle,,(916) 714-8181
Irene B. West Elementary,,(916) 683-4362
Robert J. Fite Elementary,,(916) 689-2854
Elliott Ranch Elementary,,(916) 683-3877
Elk Grove Elementary Preschool,,
Alpha Charter,,(916) 991-2244
Sandra J. Gallardo Elementary,,(916) 294-0334
Folsom Cordova K-8 Community Charter,,(916) 294-9190
Navigator Elementary,,(916) 294-2420
Vista del Lago High,552.0,(916) 294-2410
Russell Ranch Elementary,,(916) 294-2430
Cordova Lane Center,,(916) 294-9090
Riverview STEM Elementary,,(916) 294-2435
Folsom Cordova Unified Alternative Educ.,,
Prospect Community Day School,,(916) 294-9060
Folsom High-Prairie City,,
Folsom Lake High,,(916) 294-9055
Folsom Evening High School,,
Folsom Represa Adult,,
Kitty Hawk,,
Mather Heights Elementary,,(916) 294-2440
Walnutwood Elementary,,
Folsom Middle,,(916) 294-9040
Folsom-Cordova Preschool,,
Alternative Center,,
Folsom-Cordova Elem. Independent Study,,
Natoma Station Elementary,,(916) 351-0565
Gold Ridge Elementary,,(916) 294-9140
Sutter Middle,,(916) 294-9035
Empire Oaks Elementary,,(916) 983-0120
Robert L. McCaffrey Middle,,(209) 745-5462
Lake Canyon Elementary,,(209) 744-5200
Vernon E. Greer Elementary,,(209) 745-2641
River Oaks Elementary,,(209) 745-4614
Marengo Ranch Elementary,,(209) 745-5470
Galt Community,,
Liberty Ranch High,496.0,(209) 744-4250
Galt Adult Education,,(209) 745-3081
Grant School-To-Career Institute,,
Greater Sacramento Urban League Charter,,
Grant Continuation High School,,
Norte del Rio High,,
Vista Nueva High (Cont.),,
Vista Nueva High (Cont.),,
Campos Verdes Alternative Magnet,,
Las Palmas Junior High,,
Del Paso Junior High,,
Valle Vista (Roc),,
Grant District Opportunity,,
Student Services Center,,
Sacramento Adult College,,
Natomas Junior High,,
American Lakes Elementary,,
Jefferson Elementary,,
Bannon Creek Elementary,,
Ben Ali Elementary,,
Gardenland Primary,,
Harold A. Cook Elementary,,
Good Schools for All for Nehemiah Leadership,,
Vineland Elementary (TMR),,
Vineland Elementary,,
River Delta Community Day,,(916) 775-9160
Clarksburg Middle,,(916) 744-1717
Delta Elementary Charter,,(916) 744-1200
River Delta Early Education Preschool,,
Mokelumne High (Continuation),,(916) 775-9160
Wind River High (Adult),,(707) 374-1719
River Delta Continuation High,,
Jean Harvie Primary,,
Montezuma Elementary,,
Paseo Grande Charter,,(661) 272-1225
National University Academy Robla,,
Glenwood Elementary,,(916) 922-2767
St. HOPE Public School 7,,(916) 649-7850
Sol Aureus College Preparatory,,(916) 421-0600
Sacramento High School,,
Visual and Performing Arts Charter,,
New Technology High,432.0,(916) 395-5254
George Washington Carver School of Arts and Science,526.0,(916) 395-5266
The MET,468.0,(916) 395-5417
Genesis High,,
Rosemont High,452.0,(916) 395-5130
Sacramento Charter High,403.0,(916) 277-6200
Aspire Capitol Heights Academy,,(916) 739-8520
The Language Academy of Sacramento,,(916) 277-7137
Learning Repertoire Charter Academy,,
Arthur A. Benjamin Health Professions High,449.0,(916) 395-5010
California Montessori Project - Capitol Campus,,(916) 325-0910
John Morse Therapeutic Center,,(916) 433-2972
School of Engineering & Sciences,420.0,(916) 395-5040
Visual and Performing Arts Charter,,
Yav Pem Suab Academy - Preparing for the Future Charter,,(916) 433-5057
Capitol Collegiate Academy,,(916) 508-6634
Oak Park Preparatory Academy,,(916) 533-4861
New Joseph Bonnheim (NJB) Community Charter,,(916) 277-6294
Washington Elementary,,(916) 264-4160
John F. Kennedy Adult Educatio,,
American Legion School for Adu,,
Capital City Independent Study,,(916) 433-5187
Old Marshall Adult Education Center,,
Community Day,,
West Campus,500.0,(916) 277-6400
Luther Burbank Adult Education,,
Hiram W. Johnson Adult Educati,,
Argonaut Adult School,,
Coloma Elementary,,
Crocker Elementary,,
Donner Elementary,,
El Dorado Elementary,,
Fremont Elementary,,
Leataata Floyd Elementary,,(916) 395-4630
Alice Birney Waldorf-Inspired,,(916) 395-4510
John Muir District Programs,,
Lincoln Elem (Defunct),,
Marshall Elementary,,
Newton Booth Elementary,,
Sierra Elementary,,
Washington (S.E.),,
Leland Stanford Junior High,,
Peter Lassen Junior High,,
Bowling Green O.H. Center,,
Basic School,,
Newcomer Center (Elem),,
Fern Bacon Basic,,
Father Keith B. Kenny,,(916) 395-4570
Matsuyama Elementary,,(916) 395-4650
Success Academy,,(916) 643-2338
Cesar Chavez Intermediate,,(916) 395-4530
Humane Education Learning Community Charter,,
California Montessori Project-San Juan Campus,,(916) 971-2432
Golden Valley River,,(916) 987-6141
Aspire Alexander Twilight College Preparatory Academy,,(916) 979-1788
Aspire Alexander Twilight Secondary Academy,403.0,(916) 979-1788
"General Davie, Jr. Primary Center",,(916) 575-2416
Gateway International,,(916) 286-5103
Golden Valley Orchard,,(916) 987-1490
Atkinson Academy Charter,,(916) 977-3790
Sierra Vista High (Cont.),,
Rio del Sol Continuation High,,
Los Amigos Continuation High,,
Vista Bonita (Cont.),,
Casa Viva Continuation High,,
Loma Vista (Cont.),,
Sunrise Tech Center,,(916) 971-7654
Options for Youth-San Juan,431.0,(916) 485-5155
Visions In Education,533.0,(916) 971-7037
San Juan Choices Charter,,(916) 979-8378
Delta Secondary Academy,,
El Escalon Continuation High,,
La Sierra High,,
La Vista Continuation High,,
Marconi Technical Center,,
Central Elementary,,
Eastern Elem.,,
Hemlock Street Elem.,,
Kenneth Avenue Elementary,,
San Juan Preschool,,
Orange Grove Elementary,,
Pope Avenue Elementary,,
Winterstein Elementary,,
Wright Elementary,,
Wyda Way Elem (Defunct),,
Preschool,,
Gold River Discovery Center K-8,,(916) 867-2109
Delta Elementary Academy,,
Happy House of Carmichael,,
Global Youth Charter,,(916) 339-4680
Wilson C. Riles Middle,,(916) 787-8100
Center Adult,,(916) 338-6387
Antelope View Charter,,
Center Elementary,,
Oak Hill Elementary,,(916) 338-6460
Pre-Ninth Grade Academy,,
Marconi Technical Center,,
Inderkum High,449.0,(916) 567-5640
Witter Ranch Elementary,,(916) 567-5620
Sacramento Valley Technical High,,
Westlake Charter,,(916) 567-5760
Heron,,(916) 567-5680
Natomas Pacific Pathways Prep,477.0,(916) 567-5740
H. Allen Hight Elementary,,(916) 567-5700
Natomas Community Day,,
H. Allen Hight Middle,,
Natomas Pacific Pathways Prep Middle,,(916) 567-5740
Westlake Charter Middle,,
Leroy Greene Academy,,(916) 567-5560
Natomas Gateways Middle,,(916) 567-5430
Natomas Pacific Pathways Prep Elementary,,(916) 567-5741
Natomas High,454.0,(916) 641-4960
Discovery High,,(916) 928-5200
Natomas Charter,524.0,(916) 928-5353
Natomas Charter (Middle),,
Natomas Middle,,(916) 567-5540
Natomas Park Elementary,,(916) 928-5234
Two Rivers Elementary,,(916) 567-5520
Norwood Junior High,,(916) 566-2710
Community Outreach Academy,,(916) 286-5170
Futures High,489.0,(916) 286-1902
Regency Park Elementary,,(916) 566-1660
Nova Community Day,,
Heritage Peak Charter,458.0,(866) 992-9033
Creative Connections Arts Academy,,(916) 566-1870
Community Collaborative Charter,,(916) 286-5161
Higher Learning Academy,,(916) 286-5183
Phoenix Rising Charter Academy,,
SAVA: Sacramento Academic and Vocational Academy,,(916) 387-8063
California Aerospace Academy,,
Lindsay Global Language Academy,,
Nova Opportunity,,(916) 566-2765
Highlands Community Charter,,(916) 844-2283
Elwood J. Keema High,,(916) 566-3410
Vista Nueva Career and Technology High,,(916) 566-2750
Foothill Oaks Elementary,,(916) 566-1830
Westside Preparatory Charter,,(916) 566-1990
Fred K. Robinson Community Day,,
Pathways Community Day,,(916) 566-2715
Paramount Collegiate Academy,,(916) 484-1480
San Benito County Regional Special Education Center,,(831) 630-2525
Pinnacles Community School,,(831) 636-2870
Career Opportunities Adult,,
San Benito & South Santa Clara,,
San Andreas Opportunity,,
Special Education,,
Head Start/State Preschool Pro,,
Nueva Vista (TMR),,
Hollister Dual Language Academy,,(831) 634-4930
Accelerated Achievement Academy,,(831) 636-4460
Hollister Prep,,(831) 313-0772
Fairview Center,,
Maze Middle,,(831) 636-4480
Gabilan Hills,,(831) 636-4430
New Idria Elementary,,
Ausaymas Elementary,,
Pacheco Elementary,,
Olympia Elementary,,
Panoche Elementary,,(831) 628-3438
